aint,0.081058,8.11E-101
an amazing,0.081636,4.31E-102
fam,0.081646,1.79E-102
boys,0.081934,1.39E-102
beach,0.082312,1.48E-104
girl,0.082373,3.79E-103
lets,0.082495,1.11E-105
lovin,0.08284,9.5E-106
cant wait to,0.083,1.82E-105
great night,0.083338,9E-108
goin,0.086137,3.66E-113
hit me up,0.086187,3.99E-114
night with,0.086602,4.63E-115
i love my,0.086688,1.85E-112
ya,0.086699,5.92E-117
dont,0.086847,1.19E-113
chillin,0.086999,3.05E-117
lil,0.089155,9.74E-123
gettin,0.08942,9.84E-124
love you,0.090361,6.89E-120
baby,0.092409,8.41E-129
cant,0.094729,7.02E-135
im,0.096126,1.45E-132
girls,0.098354,2.05E-147
cant wait,0.099558,6.31E-151
party,0.110272,3.76E-190
